date,deaths,name,negative,pending,positive,Travel-related,Local,Unknown
2020-03-24 17:27 PM,3,Czech Rebublic,18230,,1394,,,
2020-03-24 18:55 PM,3,Bahrain,26897,,212,,,
2020-03-25,27,Canada National,126848,12109,3197,,,
2020-03-25 09:00 AM,463,United Kingdom,87490,,9529,,,
2020-03-23 05:30 pm,8,"Ontario, CAN",21795,10074,572,,,
2020-03-25 17:41 PM,2,Lithuania,3216,,255,,,
2020-03-25 13:00 PM,,Australia Capital,2964,,44,,,
2020-03-25 15:00 PM,14,"British Columbia, CAN",31080,,659,,,
2020-03-25 15:00 PM,31,Austria,26847,,5560,,,
2020-03-25 13:00 PM,6,"Quebec, Canada",26634,,1339,,,
2020-03-25 06:46 AM,10,Hungary,6591,,226,,,
2020-03-25 18:00 PM,6,Czech Rebublic,20946,,1654,,,
2020-03-25 17:41 PM,19,Malaysia,14024,5041,1796,,,
2020-03-25 00:00 AM,,"NSW, AUS",67148,,1029,,,
2020-03-25 00:00 AM,0,"Nova Scotia, CAN",2772,,68,,,
2020-03-25 16:00 PM,0,"New Brunswick, Canada",1524,,26,,,
2020-03-25 17:41 PM,4,Bahrain,28277,,225,,,
2020-03-26 07:03 AM,0,Vietnam,30400,,148,,,
2020-03-25 17:42 PM,2,"Alberta, CAN",35089,,419,,,
2020-03-11,0,Costa Rica,118,,22,3,19,
2020-03-12,0,Costa Rica,206,,23,3,20,
2020-03-13,0,Costa Rica,286,,26,3,23,
2020-03-14,0,Costa Rica,415,,27,4,23,
2020-03-15,0,Costa Rica,450,,35,5,30,
2020-03-16,0,Costa Rica,615,,41,6,35,
2020-03-17,0,Costa Rica,720,,50,6,44,
2020-03-18,0,Costa Rica,855,,69,6,63,
2020-03-19,1,Costa Rica,951,,87,8,79,
2020-03-20,2,Costa Rica,1046,,113,9,104,
2020-03-21,2,Costa Rica,1190,,117,10,107,
2020-03-22,2,Costa Rica,1400,,134,17,117,
2020-03-23,2,Costa Rica,1533,,158,17,141,
2020-03-24,2,Costa Rica,1619,,177,18,159,
2020-03-25,2,Costa Rica,1684,,201,18,183,
2020-03-26,2,Costa Rica,2331,,231,18,209,4
2020-02-26,0,Estonia,6,,0,,,
2020-02-27,0,Estonia,16,,1,,,
2020-02-28,0,Estonia,28,,1,,,
2020-02-29,0,Estonia,37,,1,,,
2020-03-01,0,Estonia,52,,1,,,
2020-03-02,0,Estonia,73,,1,,,
2020-03-03,0,Estonia,98,,2,,,
2020-03-04,0,Estonia,141,,2,,,
2020-03-05,0,Estonia,179,,5,,,
2020-03-06,0,Estonia,232,,10,,,
2020-03-07,0,Estonia,283,,10,,,
2020-03-08,0,Estonia,301,,10,,,
2020-03-09,0,Estonia,340,,10,,,
2020-03-10,0,Estonia,406,,13,,,
2020-03-11,0,Estonia,447,,17,,,
2020-03-12,0,Estonia,543,,41,,,
2020-03-13,0,Estonia,734,,109,,,
2020-03-14,0,Estonia,836,,135,,,
2020-03-15,0,Estonia,962,,171,,,
2020-03-16,0,Estonia,1182,,205,,,
2020-03-17,0,Estonia,1400,,225,,,
2020-03-18,0,Estonia,1762,,258,,,
2020-03-19,0,Estonia,1992,,267,,,
2020-03-20,0,Estonia,2221,,283,,,
2020-03-21,0,Estonia,2506,,306,,,
2020-03-22,0,Estonia,2903,,326,,,
2020-03-23,0,Estonia,3372,,352,,,
2020-03-24,0,Estonia,3672,,369,,,
2020-03-25,1,Estonia,4405,,404,,,
2020-03-26,1,Estonia,6552,,538,,,
2020-03-27,0,Iceland,64,,0,,,
2020-03-28,0,Iceland,76,,1,,,
2020-03-29,0,Iceland,108,,1,,,
2020-03-01,0,Iceland,127,,4,,,
2020-03-02,0,Iceland,169,,10,,,
2020-03-03,0,Iceland,209,,15,,,
2020-03-04,0,Iceland,275,,30,,,
2020-03-05,0,Iceland,329,,38,,,
2020-03-06,0,Iceland,377,,47,,,
2020-03-07,0,Iceland,428,,54,,,
2020-03-08,0,Iceland,460,,59,,,
2020-03-09,0,Iceland,549,,68,,,
2020-03-10,0,Iceland,704,,82,,,
2020-03-11,0,Iceland,829,,106,,,
2020-03-12,0,Iceland,1066,,122,,,
2020-03-13,0,Iceland,1403,,142,,,
2020-03-14,0,Iceland,1702,,166,,,
2020-03-15,0,Iceland,2757,,186,,,
2020-03-16,0,Iceland,4442,,208,,,
2020-03-17,0,Iceland,5789,,261,,,
2020-03-18,0,Iceland,7539,,339,,,
2020-03-19,0,Iceland,8773,,416,,,
2020-03-20,0,Iceland,9292,,476,,,
2020-03-21,0,Iceland,9551,,567,,,
2020-03-22,0,Iceland,9712,,589,,,
2020-03-23,1,Iceland,10104,,656,,,
2020-03-24,1,Iceland,10965,,762,,,
2020-03-25,2,Iceland,11813,,802,,,
2020-03-26,39,Canada National,145067,12670,3866
2020-03-26,,United Kingdom,93208,,11658
2020-03-26,15,"Ontario, CAN",26727,10965,835
2020-03-26,2,"Alberta, CAN",35089,,419
2020-03-26,0,"New Brunswick, Canada",1795,,33
2020-03-26,8,"Quebec, Canada",31854,,1629
2020-03-26,0,"Nova Scotia, CAN",3201,,73
2020-03-26,4,Lithuania,4030,,290
2020-03-26,14,"British Columbia, CAN",33836,,725
2020-03-26,9,Czech Rebublic,24773,,1925
2020-03-26,10,Hungary,7744,,261
2020-03-26,49,Austria,29597,,6398
2020-03-27,0,Vietnam,31728,,153
2020-03-26,23,Malaysia,14952,4902,2031
2020-03-26,4,Bahrain,29289,,244
2020-03-26,,Australia Capital,3698,,62
2020-03-26,,"NSW, AUS",72787,,1219
2020-03-26,1,Estonia,6552,,538
